parameter;sex;a0;a_ht;a_age
FVC;male;-3.18373;0.12102;-0.01357
FEV1;male;-1.50723;0.09107;-0.0232
FEF25;male;2.72554;0.0903;-0.01987
FEF50;male;2.40337;0.06526;-0.03049
FEF75;male;1.98361;0.03583;-0.04142
FEF25_75;male;2.61187;0.05948;-0.037
PEFR;male;0.22544;0.14393;-0.02403
MVV;male;-37.94893;3.02915;-0.81621
FVC;female;-1.04912;0.07833;-0.01539
FEV1;female;-0.18693;0.06029;-0.01936
FEF25;female;2.14653;0.06876;-0.01926
FEF50;female;1.4264;0.0622;-0.02344
FEF75;female;2.21596;0.02334;-0.0345
FEF25_75;female;2.2561;0.04931;-0.0312
PEFR;female;1.1316;0.0913;-0.01776
MVV;female;-4.86957;2.13844;-0.68503
