parameter;sex;type;a;b;divisor
FVC;male;power10;-2.9236;2.936;1000
FEV1;male;power10;-2.8652;2.8729;1000
FEV1FVC;male;linear;90.6043;-0.04104;1
FEF25;male;power10;-4.0164;2.1541;1
FEF50;male;power10;-4.2168;2.1771;1
FEF75;male;power10;-4.5808;2.2116;1
FEF25_75;male;power10;-4.6651;2.3588;1
PEFR;male;power10;-4.3722;2.3422;1
SVC;male;power10;-2.5768;2.7799;1000
MVV;male;power10;-1.9178;3.0388;1000
FVC;female;power10;-2.704;2.8181;1000
FEV1;female;power10;-2.6056;2.7413;1000
FEV1FVC;female;linear;90.6043;-0.04104;1
FEF25;female;power10;-4.0164;2.1541;1
FEF50;female;power10;-4.2168;2.1771;1
FEF75;female;power10;-4.5808;2.2116;1
FEF25_75;female;power10;-4.6651;2.3588;1
PEFR;female;power10;-4.3722;2.3422;1
SVC;female;power10;-2.297;2.6361;1000
MVV;female;power10;-1.9178;3.0388;1000
